Subject Area,Parent Type,Parent Name,Workflow/Worklet,Workflow Name/Worklet Name,Mapping Name,Session Name,Source/Target Instances,Reader/Writer(Session),Session Connection Type = Connection Value,Database Type(Mapping),Source/Target Type,Source/Target Table Name(Original),Property Name,Value,Initial Value From Mapping Parameter
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,tgt_TRIGGER_ff,HDFS Connection,Application=$AppConnection_HDFS,Flat File,Target,tgt_TRIGGER_ff,Thousand Separator,,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,tgt_TRIGGER_ff,HDFS Connection,Application=$AppConnection_HDFS,Flat File,Target,tgt_TRIGGER_ff,Decimal Separator,.,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,tgt_TRIGGER_ff,HDFS Connection,Application=$AppConnection_HDFS,Flat File,Target,tgt_TRIGGER_ff,Datetime Format,A  19 mm/dd/yyyy hh24:mi:ss,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,tgt_TRIGGER_ff,HDFS Connection,Application=$AppConnection_HDFS,Flat File,Target,tgt_TRIGGER_ff,Extracted Table Name,tgt_TRIGGER_ff,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,s_m_STARTRAK_Member_Diary_Active_One_Time_Extraction,SQ_tstcall_trk,DB Connection,Relational=$DBConnection_SRC,Microsoft SQL Server,Source,"tstcall_trk,tstcall_trk_txt",Owner Name,$$SCHEMA_NAME,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,s_m_STARTRAK_Member_Diary_Active_One_Time_Extraction,SQ_tstcall_trk,DB Connection,Relational=$DBConnection_SRC,Microsoft SQL Server,Source,"tstcall_trk,tstcall_trk_txt",Number Of Sorted Ports,0,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,s_m_STARTRAK_Member_Diary_Active_One_Time_Extraction,SQ_tstcall_trk,DB Connection,Relational=$DBConnection_SRC,Microsoft SQL Server,Source,"tstcall_trk,tstcall_trk_txt",Select Distinct,NO,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,s_m_STARTRAK_Member_Diary_Active_One_Time_Extraction,SQ_tstcall_trk,DB Connection,Relational=$DBConnection_SRC,Microsoft SQL Server,Source,"tstcall_trk,tstcall_trk_txt",Pre SQL,,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,s_m_STARTRAK_Member_Diary_Active_One_Time_Extraction,SQ_tstcall_trk,DB Connection,Relational=$DBConnection_SRC,Microsoft SQL Server,Source,"tstcall_trk,tstcall_trk_txt",Source Filter,$$SQ_FILTER,$$SQ_FILTER
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,s_m_STARTRAK_Member_Diary_Active_One_Time_Extraction,SQ_tstcall_trk,DB Connection,Relational=$DBConnection_SRC,Microsoft SQL Server,Source,"tstcall_trk,tstcall_trk_txt",Sql Query,,
